id,name,email,tracking_link,date_shipped,box_type
1,Francis Eshun,eshunfrancisboateng@gmail.com,link,2021-10-22,MCL 2
2,Francisfsdf Eshun,eshunfrancisboateng@gmail.com,12345,2021-11-10,MCL 2
3,Francisfsdf Eshun,eshunfrancisboateng@gmail.com,march,2021-03-18,MCL 4
4,Francisfsdf Eshun,eshunfrancisboateng@gmail.com,1234567890,2021-12-10,MCL 6
5,Francisfsdf Eshun,eshunfrancisboateng@gmail.com,12345678909876543,2021-11-03,MCL 8
6,Francisfsdf Eshun,eshunfrancisboateng@gmail.com,kk,2021-08-12,MCL 7
7,Francisfsdf Eshun,eshunfrancisboateng@gmail.com,2022,2022-03-12,MCL 3
8,Francisfsdf Eshun,eshunfrancisboateng@gmail.com,no next boxdate,2021-06-16,MCL 1
9,Francis Eshun,eshunfrancisboateng@gmail.com,4352345,2022-02-05,MCL 1
10,Francis Eshun,eshunfrancisboateng@gmail.com,2535,2021-12-05,MCL 2
11,Francis Eshun,eshunfrancisboateng@gmail.com,top,2021-12-05,MCL 1
12,Francis Eshun,eshunfrancisboateng@gmail.com,bottom,2022-04-05,MCL 2
13,Francis Eshun,eshunfrancisboateng@gmail.com,ESHK53890540,2021-12-13,MCL 2
14,Francis Eshun,eshunfrancisboateng@gmail.com,updateboxes,2021-12-15,MCL 1
15,Francis Eshun,theproximalabs@gmail.com,number,2022-01-18,SKU4
16,Francis Eshun,theproximalabs@gmail.com,f,2022-01-18,MCL 1
17,Francis Eshun,theproximalabs@gmail.com,sf,2022-01-18,MCL 2
18,Francis Eshun,theproximalabs@gmail.com,asfdf,2022-01-18,MCL 3
19,Francis Eshun,theproximalabs@gmail.com,asfdfasdff,2022-01-18,MCL 4
20,Francis Eshun,theproximalabs@gmail.com,asxcv,2022-01-18,MCL 5
21,Francis Eshun,theproximalabs@gmail.com,asxasdfscv,2022-01-18,MCL 6
22,Francis Eshun,theproximalabs@gmail.com,asxcvxasdfscv,2022-01-18,MCL 7
23,Francis Eshun,theproximalabs@gmail.com,asxcvxasdfswercv,2022-01-18,MCL 8
24,Francis Eshun,theproximalabs@gmail.com,kkk,2022-01-18,SKU1
25,Francis Eshun,theproximalabs@gmail.com,kfsdfsdkk,2022-01-18,SKU3
26,Francis Eshun,theproximalabs@gmail.com,kfsdfsfddkk,2022-01-18,SKU4
27,Francis Eshun,theproximalabs@gmail.com,bvbkfsdfsfddkk,2022-01-18,SKU5
28,Francis Eshun,theproximalabs@gmail.com,wrewe,2022-01-18,SKU6
29,Francis Eshun,theproximalabs@gmail.com,wrewew,2022-01-18,SKU7
30,Francis Eshun,theproximalabs@gmail.com,ewrewew,2022-01-18,SKU8
31,Francis Eshun,theproximalabs@gmail.com,rw,2022-01-18,SKU9
32,Francis Eshun,theproximalabs@gmail.com,rwf,2022-01-18,SKU10
33,Francis Eshun,theproximalabs@gmail.com,rwfd,2022-01-18,SKU11
34,Francis Eshun,theproximalabs@gmail.com,rwfds,2022-01-18,SKU12
35,Francis Eshun,theproximalabs@gmail.com,rwfdsa,2022-01-18,SKU13
36,Francis Eshun,francis@sailboatlabs.com,4234,2022-07-13,SKU10
